track,sample,lat,lon,pressureReducedToMeanSeaLevel,pressure
70W,1,6.9,163.1,100700.0,1007.0
70W,1,8.8,164.8,100800.0,1008.0
70W,1,8.8,163.4,100500.0,1005.0
70W,1,7.7,162.8,100600.0,1006.0
70W,1,7.7,163.9,100400.0,1004.0
70W,1,7.7,163.9,100600.0,1006.0
70W,1,7.4,163.4,100300.0,1003.0
70W,1,7.4,163.4,100400.0,1004.0
70W,1,7.7,163.4,100200.0,1002.0
70W,1,8.0,163.1,100300.0,1003.0
70W,1,8.5,162.20000000000002,99800.0,998.0
70W,1,8.8,161.4,99800.0,998.0
70W,1,8.8,160.5,99700.0,997.0
70W,1,8.8,160.8,99900.0,999.0
70W,1,9.5,159.9,99400.0,994.0
70W,1,9.700000000000001,159.4,99300.0,993.0
70W,1,10.0,158.6,98600.0,986.0
70W,1,10.200000000000001,158.0,98300.0,983.0
70W,1,10.5,157.5,97800.0,978.0
70W,1,10.5,156.9,97000.0,970.0
70W,1,10.5,156.6,96700.0,967.0
70W,1,10.8,155.8,97600.0,976.0
70W,1,10.5,155.20000000000002,97100.0,971.0
70W,1,10.8,154.9,97100.0,971.0
70W,1,10.8,154.1,96900.0,969.0
70W,1,11.1,153.8,96500.0,965.0
70W,1,11.1,153.5,96100.0,961.0
70W,1,11.6,153.0,95900.0,959.0
70W,1,12.200000000000001,151.8,97000.0,970.0
70W,1,12.8,151.3,96700.0,967.0
70W,1,13.3,149.6,97100.0,971.0
70W,1,14.200000000000001,148.5,96900.0,969.0
70W,1,15.1,146.8,97000.0,970.0
70W,1,15.6,144.8,96700.0,967.0
70W,1,15.9,142.8,96800.0,968.0
70W,1,16.6,141.20000000000002,96200.0,962.0
70W,1,17.8,139.20000000000002,96600.0,966.0
70W,1,17.8,137.5,96400.0,964.0
70W,1,18.8,135.3,96500.0,965.0
70W,1,19.2,133.8,95700.0,957.0
70W,1,20.1,131.9,96100.0,961.0
70W,1,20.7,130.2,95600.0,956.0
70W,1,21.2,128.8,95800.0,958.0
70W,1,21.8,127.60000000000001,95400.0,954.0
70W,1,22.3,126.5,95000.0,950.0
70W,1,23.8,125.7,94800.0,948.0
70W,1,24.5,124.8,95400.0,954.0
70W,1,26.0,123.8,95600.0,956.0
70W,1,27.1,123.10000000000001,95800.0,958.0
70W,1,28.7,122.5,96500.0,965.0
70W,1,30.2,121.5,96900.0,969.0
70W,1,31.400000000000002,120.9,97400.0,974.0
70W,1,32.8,120.60000000000001,97900.0,979.0
70W,1,33.9,120.0,98300.0,983.0
70W,1,35.0,120.0,98600.0,986.0
70W,1,35.9,120.60000000000001,98900.0,989.0
70W,1,37.300000000000004,121.5,99000.0,990.0
70W,1,38.4,122.0,99100.0,991.0
70W,1,39.2,123.10000000000001,99200.0,992.0
70W,2,10.0,170.70000000000002,100600.0,1006.0
70W,2,8.8,172.4,100700.0,1007.0
70W,2,8.3,172.4,100800.0,1008.0
70W,2,9.700000000000001,170.70000000000002,100600.0,1006.0
70W,2,9.4,167.6,100800.0,1008.0
70W,2,7.7,164.5,100600.0,1006.0
70W,2,8.3,165.3,100600.0,1006.0
70W,2,9.1,163.9,100400.0,1004.0
70W,2,8.5,163.9,100600.0,1006.0
70W,2,9.1,163.1,100400.0,1004.0
70W,2,9.1,162.5,100500.0,1005.0
70W,2,10.0,161.1,100200.0,1002.0
70W,2,9.4,160.3,100400.0,1004.0
70W,2,9.700000000000001,159.4,100300.0,1003.0
70W,2,10.0,158.3,100300.0,1003.0
70W,2,10.0,157.5,100100.0,1001.0
70W,2,10.0,155.8,100400.0,1004.0
70W,2,9.4,154.9,99600.0,996.0
70W,2,9.4,154.6,100000.0,1000.0
70W,2,8.8,154.1,100000.0,1000.0
70W,2,9.1,153.5,100300.0,1003.0
70W,2,8.8,153.0,100000.0,1000.0
70W,2,8.5,151.5,100100.0,1001.0
70W,2,8.3,151.3,99700.0,997.0
70W,2,8.5,151.3,99700.0,997.0
70W,2,8.8,151.0,99100.0,991.0
70W,2,9.4,150.4,98800.0,988.0
70W,2,10.0,149.9,98000.0,980.0
70W,2,10.200000000000001,149.3,97800.0,978.0
70W,2,10.8,148.70000000000002,97000.0,970.0
70W,2,11.1,147.9,96400.0,964.0
70W,2,11.8,147.3,96500.0,965.0
70W,2,12.5,146.20000000000002,96500.0,965.0
70W,2,13.6,145.1,97000.0,970.0
70W,2,14.5,143.4,97100.0,971.0
70W,2,15.6,142.0,96900.0,969.0
70W,2,15.9,140.3,96500.0,965.0
70W,2,16.4,138.6,96800.0,968.0
70W,2,17.0,136.6,96600.0,966.0
70W,2,17.0,135.2,96700.0,967.0
70W,2,17.6,133.5,96400.0,964.0
70W,2,18.1,132.1,96300.0,963.0
70W,2,18.400000000000002,131.0,96200.0,962.0
70W,2,19.2,129.6,96200.0,962.0
70W,2,19.8,128.8,96100.0,961.0
70W,2,21.5,127.60000000000001,96300.0,963.0
70W,2,21.900000000000002,126.7,96300.0,963.0
70W,2,23.5,125.7,95900.0,959.0
70W,2,24.0,125.10000000000001,95300.0,953.0
70W,2,25.7,124.3,95600.0,956.0
70W,2,26.900000000000002,123.4,95600.0,956.0
70W,2,28.3,122.9,95700.0,957.0
70W,2,29.1,122.3,96200.0,962.0
70W,2,30.2,121.7,97500.0,975.0
70W,2,31.400000000000002,121.5,98400.0,984.0
70W,2,32.8,121.7,98500.0,985.0
70W,2,34.0,121.4,98800.0,988.0
70W,2,35.0,121.7,98700.0,987.0
70W,3,8.0,162.20000000000002,100800.0,1008.0
70W,3,8.3,162.8,100600.0,1006.0
70W,3,8.5,162.8,100800.0,1008.0
70W,3,8.0,163.6,100600.0,1006.0
70W,3,8.0,163.9,100700.0,1007.0
70W,3,8.0,164.5,100500.0,1005.0
70W,3,8.3,163.6,100400.0,1004.0
70W,3,10.200000000000001,163.6,100700.0,1007.0
70W,4,8.3,173.20000000000002,100400.0,1004.0
70W,4,8.8,173.20000000000002,100400.0,1004.0
70W,4,9.4,173.20000000000002,100500.0,1005.0
70W,4,9.4,172.4,100300.0,1003.0
70W,4,9.4,171.20000000000002,100200.0,1002.0
70W,4,9.1,171.0,99900.0,999.0
70W,4,10.0,171.0,100000.0,1000.0
70W,4,10.200000000000001,169.5,100100.0,1001.0
70W,4,10.200000000000001,169.0,100100.0,1001.0
70W,4,10.8,168.70000000000002,100000.0,1000.0
70W,4,11.4,167.9,100100.0,1001.0
70W,4,11.6,167.3,99600.0,996.0
70W,4,11.9,166.70000000000002,99700.0,997.0
70W,4,11.700000000000001,165.5,99500.0,995.0
70W,4,12.5,165.3,99400.0,994.0
70W,4,13.3,164.5,98500.0,985.0
70W,4,13.3,163.4,98500.0,985.0
70W,4,13.9,162.5,98300.0,983.0
70W,4,14.200000000000001,161.70000000000002,98400.0,984.0
70W,4,14.700000000000001,160.8,98000.0,980.0
70W,4,15.0,160.3,98100.0,981.0
70W,4,15.6,159.4,97500.0,975.0
70W,4,16.1,158.3,97400.0,974.0
70W,4,16.4,157.5,97300.0,973.0
70W,4,17.0,156.6,96900.0,969.0
70W,4,17.3,155.5,96600.0,966.0
70W,4,17.8,154.9,96600.0,966.0
70W,4,19.0,153.8,96500.0,965.0
70W,4,19.2,152.4,96400.0,964.0
70W,4,20.1,151.8,95600.0,956.0
70W,4,20.900000000000002,150.70000000000002,96000.0,960.0
70W,4,21.8,149.6,96300.0,963.0
70W,4,22.6,148.20000000000002,96400.0,964.0
70W,4,23.2,146.8,96400.0,964.0
70W,4,23.8,145.6,96200.0,962.0
70W,4,24.3,144.20000000000002,96100.0,961.0
70W,4,24.900000000000002,142.8,96000.0,960.0
70W,4,25.3,141.8,95600.0,956.0
70W,4,25.7,140.9,95400.0,954.0
70W,4,26.6,140.3,95400.0,954.0
70W,4,26.900000000000002,139.70000000000002,95200.0,952.0
70W,4,27.7,139.20000000000002,94900.0,949.0
70W,4,28.3,138.9,95200.0,952.0
70W,4,29.7,138.9,95900.0,959.0
70W,4,30.6,138.1,95900.0,959.0
70W,4,31.6,138.0,96100.0,961.0
70W,4,32.2,138.3,96500.0,965.0
70W,4,33.0,138.3,96600.0,966.0
70W,4,34.2,138.9,97200.0,972.0
70W,4,35.9,140.0,98000.0,980.0
70W,4,37.300000000000004,140.3,98800.0,988.0
70W,4,39.0,141.70000000000002,99000.0,990.0
70W,4,40.9,141.4,98900.0,989.0
70W,5,11.6,127.8,100700.0,1007.0
70W,5,11.9,126.2,100400.0,1004.0
70W,5,11.9,125.4,100500.0,1005.0
70W,5,12.200000000000001,124.0,100100.0,1001.0
70W,5,12.5,123.10000000000001,100400.0,1004.0
70W,5,13.0,121.7,100200.0,1002.0
70W,5,13.6,120.60000000000001,100400.0,1004.0
70W,5,13.3,119.5,100000.0,1000.0
70W,5,14.200000000000001,118.9,100400.0,1004.0
70W,5,15.0,118.4,100200.0,1002.0
70W,5,15.6,117.2,100300.0,1003.0
70W,5,15.6,115.60000000000001,100200.0,1002.0
70W,5,15.9,115.0,100100.0,1001.0
70W,5,16.2,114.2,100000.0,1000.0
70W,5,16.7,113.3,99900.0,999.0
70W,5,17.6,113.3,99800.0,998.0
70W,5,17.400000000000002,112.3,99700.0,997.0
70W,5,18.7,112.2,99500.0,995.0
70W,5,19.5,111.0,99100.0,991.0
70W,5,20.7,110.8,99100.0,991.0
70W,5,21.2,110.2,99100.0,991.0
70W,5,22.1,110.2,99300.0,993.0
70W,5,23.2,109.9,99900.0,999.0
70W,5,25.2,110.2,100200.0,1002.0
70W,5,26.900000000000002,112.2,100300.0,1003.0
70W,6,8.3,165.3,100600.0,1006.0
70W,6,8.3,164.8,100500.0,1005.0
70W,6,7.7,165.0,100800.0,1008.0
70W,6,8.3,165.6,100500.0,1005.0
70W,6,7.7,165.0,100600.0,1006.0
70W,6,8.0,165.0,100400.0,1004.0
70W,6,8.0,165.3,100600.0,1006.0
70W,6,8.5,165.0,100300.0,1003.0
70W,6,9.1,164.5,100300.0,1003.0
70W,6,9.4,164.20000000000002,100100.0,1001.0
70W,6,10.200000000000001,163.1,100100.0,1001.0
70W,6,10.6,162.4,99900.0,999.0
70W,6,10.5,161.4,99800.0,998.0
70W,6,10.8,161.1,99500.0,995.0
70W,6,11.1,160.5,99700.0,997.0
70W,6,11.9,159.4,99300.0,993.0
70W,6,12.200000000000001,158.9,99200.0,992.0
70W,6,12.5,158.0,98600.0,986.0
70W,6,12.5,157.5,98600.0,986.0
70W,6,13.0,156.9,97700.0,977.0
70W,6,13.3,156.0,97500.0,975.0
70W,6,13.6,155.20000000000002,97600.0,976.0
70W,6,13.6,154.4,97300.0,973.0
70W,6,13.6,153.5,97000.0,970.0
70W,6,14.200000000000001,152.70000000000002,96500.0,965.0
70W,6,14.5,151.8,95800.0,958.0
70W,6,14.700000000000001,150.70000000000002,96200.0,962.0
70W,6,15.0,149.3,96500.0,965.0
70W,6,15.3,147.9,96200.0,962.0
70W,6,15.9,147.0,95900.0,959.0
70W,6,16.1,145.6,95800.0,958.0
70W,6,16.4,144.0,96400.0,964.0
70W,6,16.4,143.1,96200.0,962.0
70W,6,17.0,141.70000000000002,95700.0,957.0
70W,6,17.3,140.0,95500.0,955.0
70W,6,17.400000000000002,138.70000000000002,95200.0,952.0
70W,6,17.6,137.5,95600.0,956.0
70W,6,18.1,136.4,95000.0,950.0
70W,6,18.7,135.0,94600.0,946.0
70W,6,19.2,133.8,94600.0,946.0
70W,6,19.8,132.7,94400.0,944.0
70W,6,20.400000000000002,132.1,94500.0,945.0
70W,6,21.2,131.6,94500.0,945.0
70W,6,22.1,130.7,94600.0,946.0
70W,6,22.6,129.6,95100.0,951.0
70W,6,23.8,129.3,95200.0,952.0
70W,6,24.3,128.8,95400.0,954.0
70W,6,25.2,127.60000000000001,95500.0,955.0
70W,6,26.0,127.4,95800.0,958.0
70W,6,27.400000000000002,126.8,95700.0,957.0
70W,6,28.5,126.5,96400.0,964.0
70W,6,29.7,125.4,96700.0,967.0
70W,6,30.8,125.4,96900.0,969.0
70W,6,31.6,124.5,97300.0,973.0
70W,6,32.8,124.8,97400.0,974.0
70W,6,34.5,125.10000000000001,97700.0,977.0
70W,6,36.1,126.0,98100.0,981.0
70W,6,40.1,128.8,97800.0,978.0
70W,6,42.300000000000004,131.0,97500.0,975.0
70W,6,46.0,132.7,97200.0,972.0
70W,7,12.8,127.4,100500.0,1005.0
70W,7,12.8,125.7,100300.0,1003.0
70W,7,13.0,124.8,100500.0,1005.0
70W,7,13.3,123.4,100400.0,1004.0
70W,7,13.9,122.3,100500.0,1005.0
70W,7,13.9,120.9,100300.0,1003.0
70W,7,14.200000000000001,120.0,100400.0,1004.0
70W,7,15.1,118.8,100400.0,1004.0
70W,7,15.3,116.7,100400.0,1004.0
70W,7,16.1,115.8,100200.0,1002.0
70W,7,16.7,113.9,100000.0,1000.0
70W,7,17.3,112.7,100100.0,1001.0
70W,7,17.3,110.8,100100.0,1001.0
70W,7,17.0,109.9,100000.0,1000.0
70W,7,17.0,109.60000000000001,99900.0,999.0
70W,7,17.0,108.8,100000.0,1000.0
70W,7,17.3,108.8,100000.0,1000.0
70W,7,17.6,108.0,99900.0,999.0
70W,7,17.8,108.2,99800.0,998.0
70W,7,18.1,108.0,99800.0,998.0
70W,7,18.5,107.60000000000001,99900.0,999.0
70W,7,18.7,107.4,99900.0,999.0
70W,7,19.2,107.7,99800.0,998.0
70W,7,19.5,108.0,99700.0,997.0
70W,7,19.8,108.0,99700.0,997.0
70W,7,19.8,108.2,99700.0,997.0
70W,7,20.1,108.8,99600.0,996.0
70W,7,20.400000000000002,109.60000000000001,99700.0,997.0
70W,7,21.5,109.9,99700.0,997.0
70W,7,22.1,109.60000000000001,99800.0,998.0
70W,7,22.1,109.9,99900.0,999.0
70W,7,22.6,110.2,99900.0,999.0
70W,7,23.5,110.5,99900.0,999.0
70W,7,23.2,108.2,100000.0,1000.0
70W,7,24.0,109.60000000000001,100200.0,1002.0
70W,7,26.3,111.60000000000001,100400.0,1004.0
70W,8,9.4,172.9,100700.0,1007.0
70W,8,10.0,172.4,100500.0,1005.0
70W,8,10.8,170.1,100800.0,1008.0
70W,8,10.8,169.8,100600.0,1006.0
70W,8,10.8,169.5,100300.0,1003.0
70W,8,11.1,168.1,100500.0,1005.0
70W,8,11.1,167.6,100300.0,1003.0
70W,8,10.0,166.20000000000002,100300.0,1003.0
70W,8,9.9,166.70000000000002,100000.0,1000.0
70W,8,11.1,165.6,100000.0,1000.0
70W,8,11.1,165.3,99500.0,995.0
70W,8,11.9,164.8,99500.0,995.0
70W,8,12.5,164.20000000000002,99300.0,993.0
70W,8,13.9,163.4,99300.0,993.0
70W,8,14.200000000000001,162.5,98800.0,988.0
70W,8,14.700000000000001,161.70000000000002,99000.0,990.0
70W,8,15.3,160.5,98400.0,984.0
70W,8,15.6,159.70000000000002,98200.0,982.0
70W,8,16.1,158.9,97300.0,973.0
70W,8,16.1,157.70000000000002,97600.0,976.0
70W,8,16.7,156.3,97500.0,975.0
70W,8,16.7,155.20000000000002,97100.0,971.0
70W,8,17.0,154.4,97100.0,971.0
70W,8,17.3,152.4,97000.0,970.0
70W,8,17.6,151.3,96900.0,969.0
70W,8,17.8,150.1,96500.0,965.0
70W,8,18.1,148.70000000000002,96200.0,962.0
70W,8,18.1,147.3,96300.0,963.0
70W,8,18.1,146.20000000000002,96100.0,961.0
70W,8,18.400000000000002,144.8,96100.0,961.0
70W,8,18.400000000000002,143.70000000000002,96200.0,962.0
70W,8,18.400000000000002,142.3,95400.0,954.0
70W,8,18.7,140.9,95600.0,956.0
70W,8,19.2,139.20000000000002,95900.0,959.0
70W,8,19.5,137.8,95700.0,957.0
70W,8,19.8,136.6,95600.0,956.0
70W,8,20.400000000000002,135.0,95400.0,954.0
70W,8,20.7,134.1,95200.0,952.0
70W,8,20.900000000000002,132.4,95800.0,958.0
70W,8,21.2,131.0,95300.0,953.0
70W,8,22.1,129.9,95600.0,956.0
70W,8,22.6,128.8,94900.0,949.0
70W,8,23.5,127.60000000000001,94900.0,949.0
70W,8,24.2,127.0,94700.0,947.0
70W,8,25.2,126.3,94800.0,948.0
70W,8,26.3,125.7,95100.0,951.0
70W,8,27.1,125.10000000000001,95500.0,955.0
70W,8,28.3,125.10000000000001,95700.0,957.0
70W,8,30.0,124.3,96100.0,961.0
70W,8,31.1,124.3,95900.0,959.0
70W,8,32.2,124.3,96600.0,966.0
70W,8,33.9,124.8,97200.0,972.0
