typicalDate,typicalTime,track,sample,year,month,day,hour,lat,lon,pressureReducedToMeanSeaLevel,base_dt,valid_dt,hours,pressure,model_source
20260526,120000,06W,1,2026.0,5.0,26.0,12.0,9.700000000000001,139.20000000000002,100100.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1001.0,
20260526,120000,72W,1,2026.0,5.0,26.0,12.0,18.7,124.0,100500.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1005.0,
20260526,120000,72W,1,2026.0,5.0,26.0,12.0,18.1,122.3,100500.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1005.0,
20260526,120000,72W,1,2026.0,5.0,26.0,12.0,18.1,122.3,100700.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1007.0,
20260526,120000,72W,1,2026.0,5.0,26.0,12.0,18.7,122.60000000000001,100600.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1006.0,
20260526,120000,71W,1,2026.0,5.0,26.0,12.0,5.7,153.5,101000.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1010.0,
20260526,120000,71W,1,2026.0,5.0,26.0,12.0,6.6000000000000005,151.5,100800.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1008.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,39.2,144.5,98000.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,980.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,37.300000000000004,142.0,97900.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,979.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,34.7,138.6,97800.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,978.0,
20260526,120000,72W,1,2026.0,5.0,26.0,12.0,18.7,125.7,100400.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1004.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,33.9,135.2,97400.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,974.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,30.5,130.7,97100.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,971.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,29.1,129.9,97100.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,971.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,27.7,128.5,96800.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,968.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,26.3,128.5,96700.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,967.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,25.1,128.2,96700.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,967.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,23.8,128.2,96300.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,963.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,23.2,128.2,96000.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,960.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,22.1,128.5,95500.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,955.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,21.5,128.5,95500.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,955.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,31.8,133.0,97400.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,974.0,
20260526,120000,70W,1,2026.0,5.0,26.0,12.0,20.400000000000002,129.3,95400.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,954.0,
20260526,120000,72W,1,2026.0,5.0,26.0,12.0,20.1,126.3,100300.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1003.0,
20260526,120000,72W,1,2026.0,5.0,26.0,12.0,19.2,126.5,100100.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1001.0,
20260526,120000,74W,1,2026.0,5.0,26.0,12.0,20.7,115.5,100000.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1000.0,
20260526,120000,74W,1,2026.0,5.0,26.0,12.0,20.400000000000002,114.4,100100.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1001.0,
20260526,120000,73W,1,2026.0,5.0,26.0,12.0,17.6,125.7,100000.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1000.0,
20260526,120000,73W,1,2026.0,5.0,26.0,12.0,17.0,124.8,100200.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1002.0,
20260526,120000,73W,1,2026.0,5.0,26.0,12.0,16.4,123.4,100100.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1001.0,
20260526,120000,73W,1,2026.0,5.0,26.0,12.0,15.9,121.7,100300.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1003.0,
20260526,120000,73W,1,2026.0,5.0,26.0,12.0,15.6,121.7,100300.0,2026-05-26 12:00:00,2026-05-26 12:00:00,0.0,1003.0,
