track,sample,lat,lon,pressureReducedToMeanSeaLevel,pressure
70W,1,6.9,162.70000000000002,100500.0,1005.0
70W,1,8.4,162.9,100300.0,1003.0
70W,1,7.4,163.3,100400.0,1004.0
70W,1,7.7,164.3,100200.0,1002.0
70W,1,7.9,163.70000000000002,100200.0,1002.0
70W,1,8.700000000000001,163.8,99500.0,995.0
70W,1,8.4,163.1,99600.0,996.0
70W,1,8.3,162.70000000000002,99100.0,991.0
70W,1,8.1,162.4,98900.0,989.0
70W,1,8.3,162.3,98000.0,980.0
70W,1,8.6,162.3,98000.0,980.0
70W,1,8.8,162.3,97700.0,977.0
70W,1,9.5,162.4,98200.0,982.0
70W,1,10.8,162.20000000000002,97600.0,976.0
70W,1,11.6,161.4,96700.0,967.0
70W,1,12.5,160.8,95800.0,958.0
70W,1,13.3,159.6,96400.0,964.0
70W,1,14.0,158.20000000000002,96000.0,960.0
70W,1,14.5,156.6,95200.0,952.0
70W,1,14.700000000000001,154.70000000000002,96600.0,966.0
70W,1,13.9,153.1,97500.0,975.0
70W,1,13.4,153.0,96800.0,968.0
70W,1,14.0,152.6,97900.0,979.0
70W,1,14.0,151.70000000000002,97000.0,970.0
70W,2,9.200000000000001,174.0,100500.0,1005.0
70W,2,9.700000000000001,173.6,100600.0,1006.0
70W,2,10.1,173.1,100500.0,1005.0
70W,2,10.8,172.20000000000002,100600.0,1006.0
70W,2,11.3,170.5,100500.0,1005.0
70W,2,11.6,169.70000000000002,100400.0,1004.0
70W,2,12.1,168.6,100300.0,1003.0
70W,2,12.9,167.20000000000002,100400.0,1004.0
70W,2,13.5,165.4,100300.0,1003.0
70W,2,13.6,163.4,100500.0,1005.0
70W,2,11.8,162.9,100400.0,1004.0
70W,2,12.6,160.5,100500.0,1005.0
70W,2,12.4,160.4,100200.0,1002.0
70W,2,12.8,159.9,100500.0,1005.0
70W,2,13.5,158.9,100300.0,1003.0
70W,2,13.9,157.4,100400.0,1004.0
70W,2,14.0,156.5,100100.0,1001.0
70W,2,14.0,156.1,99800.0,998.0
70W,2,14.700000000000001,155.5,99200.0,992.0
70W,2,15.0,154.4,98900.0,989.0
70W,2,15.4,153.3,98200.0,982.0
70W,2,15.5,152.5,98000.0,980.0
70W,2,16.2,151.5,97300.0,973.0
70W,3,12.8,129.0,100700.0,1007.0
70W,3,11.700000000000001,128.1,100500.0,1005.0
70W,3,12.5,126.7,100600.0,1006.0
70W,3,12.1,124.8,100400.0,1004.0
70W,3,12.700000000000001,124.5,100400.0,1004.0
70W,3,13.3,123.3,100300.0,1003.0
70W,3,13.200000000000001,122.8,100400.0,1004.0
70W,3,13.200000000000001,121.7,100300.0,1003.0
70W,3,13.3,121.7,100300.0,1003.0
70W,3,13.9,120.60000000000001,100300.0,1003.0
70W,3,14.200000000000001,120.0,100400.0,1004.0
70W,3,15.0,119.8,100300.0,1003.0
70W,3,16.1,118.4,100300.0,1003.0
70W,3,17.1,118.10000000000001,100100.0,1001.0
70W,3,18.1,117.0,100200.0,1002.0
70W,3,19.3,116.2,100200.0,1002.0
70W,3,20.0,115.2,100200.0,1002.0
70W,3,20.6,114.10000000000001,100000.0,1000.0
70W,3,20.900000000000002,113.4,100000.0,1000.0
70W,3,20.8,112.5,100000.0,1000.0
70W,3,21.1,111.9,100000.0,1000.0
70W,3,21.6,111.8,100000.0,1000.0
70W,3,22.0,111.5,100200.0,1002.0
70W,3,22.6,111.5,100300.0,1003.0
70W,4,12.4,127.60000000000001,100700.0,1007.0
70W,4,11.0,127.0,100300.0,1003.0
70W,4,12.0,126.5,100400.0,1004.0
70W,4,13.1,124.9,100200.0,1002.0
70W,4,12.5,123.5,100300.0,1003.0
70W,4,12.8,122.10000000000001,100200.0,1002.0
70W,4,13.5,122.10000000000001,100200.0,1002.0
70W,4,13.9,120.60000000000001,100200.0,1002.0
70W,4,14.200000000000001,119.8,100100.0,1001.0
70W,4,15.1,118.8,100000.0,1000.0
70W,4,15.3,118.3,99900.0,999.0
70W,4,15.9,117.5,99700.0,997.0
70W,4,16.7,116.9,99600.0,996.0
70W,4,17.6,115.9,99500.0,995.0
70W,4,18.2,115.0,99400.0,994.0
70W,4,19.0,114.10000000000001,99200.0,992.0
70W,4,19.7,113.5,99100.0,991.0
70W,4,20.6,112.9,99000.0,990.0
70W,4,21.400000000000002,112.3,99200.0,992.0
70W,4,22.1,111.7,99400.0,994.0
70W,4,23.1,111.3,99800.0,998.0
70W,4,23.7,111.0,99800.0,998.0
70W,4,25.2,110.3,100000.0,1000.0
70W,4,27.900000000000002,110.60000000000001,100000.0,1000.0
70W,5,8.6,173.0,100500.0,1005.0
70W,5,8.6,173.1,100300.0,1003.0
70W,5,8.8,172.9,100400.0,1004.0
70W,5,9.1,173.0,100000.0,1000.0
70W,5,9.8,172.5,99400.0,994.0
70W,5,10.5,171.4,98600.0,986.0
70W,5,10.700000000000001,170.20000000000002,98400.0,984.0
70W,5,10.9,169.6,97500.0,975.0
70W,5,11.4,168.6,97500.0,975.0
70W,5,11.6,167.6,97200.0,972.0
70W,5,11.700000000000001,166.6,97900.0,979.0
70W,5,11.4,165.5,98200.0,982.0
70W,5,11.4,164.70000000000002,97600.0,976.0
