track,sample,lon,lat,pressure
Invest_GEFS,1,162.0,48.0,985.27704
Invest_GEFS,1,163.5,48.0,984.6573
Invest_GEFS,1,167.5,48.5,988.1304
Invest_GEFS,1,169.5,50.0,992.2711
Invest_GEFS,1,172.5,51.5,995.99097
Invest_GEFS,1,106.5,60.0,999.6746
Invest_GEFS,1,165.5,11.5,1000.58
Invest_GEFS,1,120.5,60.0,1000.0476
Invest_GEFS,1,163.0,13.5,999.622
Invest_GEFS,1,117.5,49.0,997.7379
Invest_GEFS,1,100.0,41.5,995.6604
Invest_GEFS,1,100.5,41.0,991.5785
Invest_GEFS,1,100.0,41.0,993.77844
Invest_GEFS,1,155.5,17.5,993.27826
Invest_GEFS,1,154.0,18.0,990.37604
Invest_GEFS,1,153.0,18.5,986.18774
Invest_GEFS,1,152.0,19.5,981.85455
Invest_GEFS,1,152.5,21.0,979.6639
Invest_GEFS,1,153.0,23.0,975.9408
Invest_GEFS,1,153.5,26.0,973.0696
Invest_GEFS,1,155.0,29.5,971.8525
Invest_GEFS,2,163.0,47.5,984.6016
Invest_GEFS,2,164.5,49.0,981.44617
Invest_GEFS,2,166.5,49.5,984.4715
Invest_GEFS,2,169.0,50.5,988.9701
Invest_GEFS,2,171.0,51.5,995.4204
Invest_GEFS,2,175.5,53.0,999.96454
Invest_GEFS,2,164.5,11.0,999.8463
Invest_GEFS,2,163.0,12.5,998.6408
Invest_GEFS,2,161.5,14.0,997.4324
Invest_GEFS,2,160.0,14.0,995.9941
Invest_GEFS,2,159.0,14.5,993.59705
Invest_GEFS,2,157.5,14.5,991.6111
Invest_GEFS,2,156.5,15.0,988.16296
Invest_GEFS,2,155.0,16.0,984.09644
Invest_GEFS,2,153.0,17.0,979.267
Invest_GEFS,2,151.0,17.5,974.06775
Invest_GEFS,2,149.0,18.0,972.2628
Invest_GEFS,2,148.0,18.5,970.4199
Invest_GEFS,2,146.0,20.0,968.35266
Invest_GEFS,2,144.0,21.0,961.8063
Invest_GEFS,2,142.0,22.0,956.3423
Invest_GEFS,3,161.5,47.5,983.96857
Invest_GEFS,3,164.5,48.0,982.47577
Invest_GEFS,3,168.0,49.0,986.4786
Invest_GEFS,3,171.0,51.0,991.56775
Invest_GEFS,3,172.0,52.0,993.7085
Invest_GEFS,3,123.5,50.0,997.6344
Invest_GEFS,3,124.0,49.5,998.70233
Invest_GEFS,3,123.5,47.0,995.6669
Invest_GEFS,3,100.5,41.5,995.72534
Invest_GEFS,3,100.5,41.5,993.71375
Invest_GEFS,3,101.0,41.0,993.8761
Invest_GEFS,3,101.5,40.5,994.53107
Invest_GEFS,3,100.0,41.5,994.34344
Invest_GEFS,3,107.0,37.5,993.5759
Invest_GEFS,3,105.5,30.0,996.1322
Invest_GEFS,3,105.5,30.0,995.83813
Invest_GEFS,3,122.0,60.0,995.00226
Invest_GEFS,3,124.5,60.0,991.0045
Invest_GEFS,3,130.0,60.0,991.1168
Invest_GEFS,3,129.5,55.0,989.24414
Invest_GEFS,3,112.0,17.0,991.6283
Invest_GEFS,4,162.0,48.0,983.5415
Invest_GEFS,4,163.5,48.0,982.4514
Invest_GEFS,4,167.5,48.5,984.9461
Invest_GEFS,4,169.5,50.0,988.52716
Invest_GEFS,4,171.5,51.0,993.74615
Invest_GEFS,4,175.5,52.5,999.76526
Invest_GEFS,4,121.5,60.0,1002.75275
Invest_GEFS,4,153.0,36.5,998.8318
Invest_GEFS,4,157.0,38.5,997.9702
Invest_GEFS,4,160.5,40.0,997.8178
Invest_GEFS,4,100.0,41.5,997.2308
Invest_GEFS,4,101.0,41.0,995.37256
Invest_GEFS,4,146.0,38.5,993.13336
Invest_GEFS,4,149.0,39.0,987.215
Invest_GEFS,4,152.0,39.0,990.1092
Invest_GEFS,4,101.0,41.0,993.2671
Invest_GEFS,4,101.5,40.5,995.2427
Invest_GEFS,4,109.5,19.0,992.1037
Invest_GEFS,4,109.0,19.0,990.7966
Invest_GEFS,4,109.0,19.5,989.175
Invest_GEFS,4,108.0,19.5,991.002
Invest_GEFS,5,162.0,47.5,983.0511
Invest_GEFS,5,164.0,48.5,981.4791
Invest_GEFS,5,168.0,49.0,986.5965
Invest_GEFS,5,171.0,51.0,991.743
Invest_GEFS,5,172.5,52.5,995.1518
Invest_GEFS,5,121.5,53.5,997.9213
Invest_GEFS,5,163.5,11.5,997.22205
Invest_GEFS,5,161.5,12.0,993.9627
Invest_GEFS,5,159.5,12.5,989.97107
Invest_GEFS,5,158.0,13.0,984.3243
Invest_GEFS,5,156.0,13.5,980.75037
Invest_GEFS,5,154.0,14.0,977.1719
Invest_GEFS,5,152.5,15.0,974.35315
Invest_GEFS,5,151.0,16.5,972.774
Invest_GEFS,5,149.0,17.0,969.8014
Invest_GEFS,5,147.0,18.5,963.86017
Invest_GEFS,5,144.5,19.5,958.3725
Invest_GEFS,5,142.0,20.5,951.5136
Invest_GEFS,5,139.5,21.0,948.497
Invest_GEFS,5,137.0,21.5,948.0758
Invest_GEFS,5,134.0,22.0,949.0826
Invest_GEFS,6,162.5,47.5,984.7542
Invest_GEFS,6,164.5,48.5,981.3619
Invest_GEFS,6,168.0,49.0,983.87646
Invest_GEFS,6,170.5,50.5,988.49884
Invest_GEFS,6,171.0,51.0,992.15826
Invest_GEFS,6,176.5,53.5,997.5808
Invest_GEFS,6,160.5,13.0,995.90814
